dataset,variant,nmi_mean,nmi_std,ari_mean,ari_std,acc_mean,acc_std,recall_mean,recall_std,precision_mean,precision_std,fscore_mean,fscore_std,iterations,wall_seconds,final_primal_residual,final_successive_difference,stopping_reason
"bbc","full",0.9634207199889786,0.042585622712097294,0.9538778350821584,0.074196035317391135,0.96452205882352937,0.061525190264318942,0.97222474525276026,0.038433870397101812,0.95933810067669456,0.07283033586100178,0.96530707800328597,0.055631094954297938,33,22.4525568,1.0111488666794571e-07,5.757537404507948e-06,"tolerance"
"bbc","no_gradient",0.95910610335384683,0.058393093329561586,0.93853003980398131,0.091617229309865905,0.9306985294117649,0.097460418175789792,0.95278164116828923,0.073013534134966793,0.95382706388516891,0.068499685617252601,0.95312379231806932,0.069946171400196114,30,20.165322,2.7294809007621073e-06,4.6737365180358265e-06,"tolerance"
"bbc","no_l2log",0.21906143396922267,0.018553217138300767,0.1589351500562321,0.030079089283065262,0.47784926470588235,0.030278651434991723,0.5337784905339048,0.028113485566776272,0.3305615713099751,0.021860362833743423,0.40702668684544491,0.01020498030123596,36,23.6782787,6.4047970991518762e-06,1.5467712688334037e-06,"tolerance"
"bbc","tnn",0.92791828674390242,0.06026297361552839,0.88906996540427841,0.11535662795126696,0.89145220588235252,0.11641839028712415,0.90100053929777757,0.108833455872962,0.93069395984056558,0.073944917258242024,0.91444782579122708,0.089399319096853974,34,20.944331699999999,4.5728050256944844e-08,6.267248040933419e-06,"tolerance"
"orl","full",0.9891808681707106,0.006147943026856068,0.9499483414425125,0.028014291621905763,0.95250000000000024,0.028446625921465435,0.98316666666666674,0.010551861465014984,0.92167119677063258,0.042292675258333093,0.95112516445302941,0.027334462016459688,32,25.694533499999999,5.4729201961948198e-06,5.0785448901182083e-06,"tolerance"
"orl","no_gradient",0.98613638519971725,0.0052756104802422522,0.93283888939464032,0.025437609491420238,0.93424999999999991,0.025210952089581178,0.97797222222222246,0.0092581821985653501,0.89509235850925284,0.038389662157360782,0.93443073590622805,0.02481085418955481,32,25.409892299999999,3.1557781520860406e-06,5.3205368278029008e-06,"tolerance"
"orl","no_l2log",0.63323428037498142,0.013721917518551136,0.2192880241353572,0.017505883507423135,0.36537499999999995,0.020168288683501453,0.3763611111111112,0.024805595666064502,0.18027343713261579,0.016886945307350108,0.243112124989046,0.0164246724688362,35,26.3163868,9.6886780607018715e-06,4.3908287942189178e-06,"tolerance"
"orl","tnn",0.98710779976958207,0.0045927971472413736,0.93801598513307916,0.023719965191145994,0.94025000000000003,0.022724030869266314,0.97938888888888886,0.0088392252960119867,0.90312305373041202,0.035696197328853603,0.9394792931697532,0.023134848846800438,32,23.424973600000001,6.1113752960631122e-06,7.8242698510655313e-06,"tolerance"
"scene","full",0.89615798265842606,0.021135771793921142,0.82907372611801811,0.05669259044333666,0.84554069119286512,0.059834766106769362,0.87569620945434445,0.034680339480990946,0.81085986047446212,0.069649067034236706,0.8414451412647741,0.052318336031885515,34,885.64997530000005,6.8717595840789858e-06,2.1899208971781525e-06,"tolerance"
"scene","no_gradient",0.90362615273231428,0.018072585184951355,0.83714968343448937,0.055142568350193745,0.85246376811594204,0.057687557079966388,0.88103762913156258,0.030911725201826074,0.82024744785900627,0.069671163327322427,0.84891486877868039,0.0508782535703943,35,757.8811958,9.1513948639870694e-06,1.1370203035534286e-06,"tolerance"
"scene","no_l2log",0.88250924769693495,0.017373490772406242,0.80712122755591731,0.048803811334378618,0.83756967670011129,0.052042430454629071,0.84397330873273335,0.034216467162787749,0.80005493093199809,0.059969230993857647,0.82087976836128362,0.045046195067373798,33,705.33455570000001,8.0770394035896177e-06,5.2091882520033231e-06,"tolerance"
