seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,1,1,1,1,1,1,5,61,1
20260815,1,1,1,1,1,1,5,61,1
20260816,1,1,1,1,1,1,5,61,1
20260817,1,1,1,1,1,1,5,61,1
20260818,1,1,1,1,1,1,5,61,1
20260819,1,1,1,1,1,1,5,61,1
20260820,0.86513284697595172,0.81399391313452507,0.79411764705882348,0.88839374414578065,0.83297405189620755,0.85979177540312601,5,50,1
20260821,1,1,1,1,1,1,5,61,1
20260822,1,1,1,1,1,1,5,61,1
20260823,1,1,1,1,1,1,5,61,1
20260824,1,1,1,1,1,1,5,61,1
20260825,1,1,1,1,1,1,5,61,1
20260826,1,1,1,1,1,1,5,61,1
20260827,0.8975621498352252,0.851036835499418,0.84191176470588236,0.88195055490902896,0.89087677045702163,0.88639119085994666,5,25,1
20260828,0.89681552865180192,0.85940327333879085,0.7904411764705882,0.89319065595640201,0.89270921985815599,0.89294987301542261,5,53,1
20260829,0.8813958927789296,0.78354369524418643,0.7904411764705882,0.78939002582952511,0.88028993764441488,0.83236561714354118,5,53,1
20260830,1,1,1,1,1,1,5,61,1
20260831,0.898801157803791,0.88072438969887568,0.80698529411764708,0.92333456331072072,0.89626670340267256,0.90959930654587151,5,45,1
20260832,0.89783941512230137,0.86170121074927553,0.79963235294117652,0.8964548267151089,0.89305810829916588,0.89475324380984766,5,48,1
20260833,0.84457507590893088,0.72019747841455717,0.7904411764705882,0.78291845249921943,0.79036648614573479,0.78662483958363039,5,53,1
