seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.98370119866718586,0.93202265295775455,0.9425,0.97277777777777774,0.89748846745258837,0.93361770194614768,40,1,1
20260815,0.99193454276156134,0.96450996906296649,0.96999999999999997,0.98999999999999999,0.94186046511627908,0.96533044420368352,40,1,1
20260816,0.97716719956796549,0.89744001670776663,0.89500000000000002,0.9588888888888889,0.84774066797642433,0.89989572471324297,40,2,1
20260817,0.98535203195245669,0.93492231501063583,0.93999999999999995,0.97833333333333339,0.8980112187659357,0.93645307099175756,40,1,1
20260818,0.9932146732007523,0.96633496013873521,0.96750000000000003,0.98833333333333329,0.94678020223523152,0.96711062788801294,40,3,1
20260819,0.99293709240810502,0.96518506884456301,0.96250000000000002,0.98611111111111116,0.94666666666666666,0.96598639455782309,40,5,1
20260820,0.99097140181632448,0.961059059728961,0.96499999999999997,0.98333333333333328,0.94148936170212771,0.96195652173913049,40,3,1
20260821,0.9941799615338025,0.96977001691144127,0.97250000000000003,0.995,0.94711792702273934,0.97046870766729887,40,1,1
20260822,0.99300500510177503,0.96547277097133477,0.96499999999999997,0.98666666666666669,0.94669509594882728,0.96626768226332971,40,4,1
20260823,0.99358755979534252,0.96776889200865734,0.96999999999999997,0.99111111111111116,0.94692144373673037,0.96851248642779586,40,2,1
20260824,0.99358755979534252,0.96776889200865734,0.96999999999999997,0.99111111111111116,0.94692144373673037,0.96851248642779586,40,2,1
20260825,0.99076220015502769,0.96019289252980977,0.96250000000000002,0.98166666666666669,0.94139584443260527,0.96110960021756864,40,4,1
20260826,0.99193454276156123,0.96450996906296649,0.96999999999999997,0.98999999999999999,0.94186046511627908,0.96533044420368352,40,1,1
20260827,0.98064613275562895,0.90743274053807554,0.91000000000000003,0.97333333333333338,0.85380116959064323,0.90965732087227413,40,2,1
20260828,0.98610148487011651,0.93612119633350144,0.9425,0.98555555555555552,0.89415322580645162,0.93763213530655398,40,1,1
20260829,0.99358755979534252,0.96776889200865734,0.96999999999999997,0.99111111111111116,0.94692144373673037,0.96851248642779586,40,2,1
20260830,0.99134345887699027,0.96249960839190052,0.96750000000000003,0.98611111111111116,0.94164456233421756,0.96336499321573954,40,2,1
20260831,0.97990589508197024,0.90453027064527391,0.90500000000000003,0.96777777777777774,0.85308521057786479,0.9068193649141072,40,2,1
20260832,0.979697862516963,0.90365664498859244,0.90249999999999997,0.96611111111111114,0.85286905345757724,0.90596509507684297,40,2,1
20260833,1,1,1,1,1,1,40,10,1
