seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260815,0.99452988862569336,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260816,0.95290585762001601,0.87568626159204144,0.87849999999999995,0.96444723618090455,0.82455115288941971,0.88902939807255366,10,40,1
20260817,0.99452988862569369,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260818,0.99452988862569369,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260819,0.99452988862569336,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260820,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260821,0.95598447110979989,0.88050264383818055,0.88449999999999995,0.97279899497487432,0.82593243623765922,0.89336988273732876,10,28,1
20260822,0.95194768719349221,0.87130161963416031,0.86899999999999999,0.95519597989949745,0.82450920005899142,0.88505431366432152,10,60,1
20260823,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260824,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260825,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260826,0.95250588879234988,0.87509467244178318,0.878,0.96324120603015073,0.82451189979482375,0.88849386881986081,10,41,1
20260827,0.9945298886256938,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260828,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260829,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260830,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260831,0.9945298886256938,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
20260832,0.95055662821759146,0.87026185617444685,0.86850000000000005,0.95419597989949745,0.82364244414274124,0.88412568706741812,10,60,1
20260833,0.99452988862569347,0.99554943659415973,0.998,0.996,0.99598498515097766,0.99599249251890065,10,199,1
