seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,1,1,1,1,1,1,10,200,1
20260815,1,1,1,1,1,1,10,200,1
20260816,0.95596389032967688,0.87674791985481404,0.87649999999999995,0.96286432160804025,0.82729588532446785,0.88994681962796962,10,47,1
20260817,1,1,1,1,1,1,10,200,1
20260818,0.95440865160089616,0.87558677837275711,0.87549999999999994,0.96082412060301503,0.82699261258455736,0.88889921990497534,10,49,1
20260819,1,1,1,1,1,1,10,200,1
20260820,0.95329536296278194,0.8696421183550519,0.85950000000000004,0.95075879396984919,0.82519266751278997,0.88353674339977717,10,81,1
20260821,1,1,1,1,1,1,10,200,1
20260822,1,1,1,1,1,1,10,200,1
20260823,0.95548810925604077,0.87558105359873484,0.87450000000000006,0.96081407035175881,0.82699111599380626,0.88889405442094649,10,51,1
20260824,1,1,1,1,1,1,10,200,1
20260825,0.95870534122508577,0.8845459701637266,0.88849999999999996,0.97832160804020096,0.82815151966310063,0.89699482820184984,10,22,1
20260826,1,1,1,1,1,1,10,200,1
20260827,0.95428518747935986,0.87786817674006989,0.87949999999999995,0.96484422110552759,0.82758204529193213,0.89095743446726949,10,40,1
20260828,1,1,1,1,1,1,10,200,1
20260829,1,1,1,1,1,1,10,200,1
20260830,0.95496521431242998,0.88132811760005514,0.88449999999999995,0.97037688442211056,0.82889066309536075,0.89407085710052603,10,32,1
20260831,1,1,1,1,1,1,10,200,1
20260832,0.95173215525113308,0.86838349363605594,0.85599999999999998,0.94859798994974875,0.82483898312490711,0.88240023559218239,10,88,1
20260833,1,1,1,1,1,1,10,200,1
