seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.99863233792354011,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260815,0.99863233792354011,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260816,0.95833127098061188,0.88183974730746728,0.88349999999999995,0.97198492462311559,0.82852516737557669,0.89453980395738764,10,33,1
20260817,0.99863233792354034,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260818,0.99863233792354023,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260819,0.96045207561104462,0.88447380297142764,0.88649999999999995,0.97652763819095478,0.82929983058008183,0.89691204604353736,10,27,1
20260820,0.95615372282125033,0.87948343157707243,0.88149999999999995,0.96851256281407039,0.82741892553255425,0.89242337949779371,10,36,1
20260821,0.99863233792354023,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260822,0.90643180095214193,0.75882073431270525,0.73150000000000004,0.90804020100502514,0.69296375266524524,0.78605545453754533,10,65,1
20260823,0.99863233792354023,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260824,0.99863233792354011,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260825,0.99863233792354023,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260826,0.95808193593206004,0.87923232608467961,0.87949999999999995,0.96724120603015074,0.82794292866943964,0.89218760501621153,10,41,1
20260827,0.95638150490368556,0.87965401835963186,0.88249999999999995,0.96963819095477388,0.82687898798836124,0.89258645054896768,10,34,1
20260828,0.99863233792354023,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260829,0.99863233792354011,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260830,0.99863233792354023,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260831,0.99863233792354011,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
20260832,0.95869902710409327,0.88262673231039168,0.88449999999999995,0.9733718592964824,0.82873474207529163,0.8952490115106152,10,31,1
20260833,0.99863233792354011,0.99888665659193576,0.99950000000000006,0.999,0.99899497992472397,0.99899748995605542,10,199,1
