seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.83031274640739428,0.6189298657002773,0.75151515151515147,0.71878787878787875,0.58423645320197048,0.64456521739130446,15,3,1
20260815,0.8265758231620004,0.61037372142318591,0.74545454545454548,0.70909090909090911,0.57749259624876603,0.63656147986942324,15,3,1
20260816,0.81755695101066528,0.60275015866299975,0.75151515151515147,0.70787878787878789,0.56699029126213596,0.62964959568733159,15,2,1
20260817,0.79902172728630116,0.56809501825659958,0.69696969696969702,0.67757575757575761,0.53441682600382412,0.59754142169962587,15,4,1
20260818,0.78837529423697994,0.561374865735768,0.7151515151515152,0.65333333333333332,0.53900000000000003,0.5906849315068492,15,6,1
20260819,0.82481646499488748,0.61155381315606305,0.75151515151515147,0.71151515151515154,0.577755905511811,0.63769690385659972,15,4,1
20260820,0.82711176615377857,0.63325015686789521,0.79393939393939394,0.71272727272727276,0.60995850622406644,0.65735047512576861,15,8,1
20260821,0.83874260500659581,0.64678357458346081,0.81212121212121213,0.72727272727272729,0.6211180124223602,0.67001675041876041,15,8,1
20260822,0.83284807008049289,0.64784911135291978,0.75757575757575757,0.73212121212121217,0.61948717948717946,0.6711111111111111,15,5,1
20260823,0.84623462111513492,0.64945056540231405,0.81212121212121213,0.73333333333333328,0.62114989733059545,0.67259588660366865,15,8,1
20260824,0.79784491280290093,0.53757172306035883,0.70909090909090911,0.69212121212121214,0.48554421768707484,0.57071464267866068,15,3,1
20260825,0.82967101411599475,0.6461981756020363,0.75757575757575757,0.70787878787878789,0.63409337676438648,0.66895761741122561,15,8,1
20260826,0.85497653813235719,0.66767619131223577,0.81818181818181823,0.74545454545454548,0.64129301355578727,0.68946188340807169,15,8,1
20260827,0.78577869741556305,0.55700638271244396,0.67878787878787883,0.67030303030303029,0.52268431001890359,0.58736059479553904,15,4,1
20260828,0.83807331304949984,0.63183673469387758,0.77575757575757576,0.72606060606060607,0.59899999999999998,0.65643835616438362,15,3,1
20260829,0.77069740028607348,0.54246453519227744,0.64848484848484844,0.63272727272727269,0.52357071213640927,0.57299670691547744,15,5,1
20260830,0.83257105765423112,0.61659916151495786,0.75151515151515147,0.71636363636363631,0.58226600985221677,0.6423913043478261,15,3,1
20260831,0.86293967166185714,0.69853387185063553,0.83636363636363631,0.76727272727272722,0.67484008528784645,0.71809415768576279,15,8,1
20260832,0.84831205704065549,0.67635254217206497,0.82424242424242422,0.74424242424242426,0.65598290598290598,0.69733106189664962,15,8,1
20260833,0.86051643726005356,0.6599274235355107,0.81818181818181823,0.77333333333333332,0.61169702780441038,0.68308351177730198,15,4,1
