dataset,lambda1,lambda2,gamma,nmi,converged,iterations,final_primal_residual,eig_K,eig_Kp1,eigengap,eig_ratio,eig1,norm_gap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
bbc,0.001,1e-05,6,0.21936675,1,34,1.512678981e-07,-0.001384712941,-0.001408199724,2.348678361e-05,-6.236192683e+12,1,2.348678361e-05,0.9993209798,0.001292852516,0.001293730985,0.003484879546,0.7127173946,0.00248373427,0.7127274082,tolerance
bbc,0.001,0.0001,6,0.27832805,1,36,8.277138657e-06,-0.0015258611,-0.001531818796,5.957696574e-06,-6.87186748e+12,1,5.957696574e-06,0.9989908451,0.0012313395,0.001232583367,0.001919154919,0.6752743385,0.001295956068,0.6752763926,tolerance
bbc,0.001,0.001,6,0.30056580,1,36,4.680062106e-06,-0.001565999869,-0.00157428934,8.28947039e-06,-7.052636427e+12,1,8.28947039e-06,0.9995837471,0.001227479423,0.001227990577,0.001800189933,0.6720949823,0.001209898621,0.672096811,tolerance
bbc,0.001,0.01,6,0.15121746,1,36,6.282560301e-06,-0.001420241194,-0.001529663354,0.0001094221599,-6.396197712e+12,1,0.0001094221599,1.001391649,0.001229694905,0.00122798598,0.003133110084,0.6716611119,0.002104388203,0.6716658508,tolerance
bbc,0.01,1e-05,6,0.96800594,1,30,5.365141596e-06,0.3365851367,0.3344087863,0.002176350393,1.006508054,1,0.002176350393,172.3209749,0.4351840834,0.002525427236,0.9957737851,1.054745592,1.050288011,10.71983007,tolerance
bbc,0.01,0.0001,6,0.97296862,1,33,1.011148867e-07,0.5143781869,0.2689610533,0.2454171336,1.912463461,1,0.2454171336,5.062654413,0.01108089153,0.002188751321,0.9843781971,1.008732291,0.9929740737,2.221518521,tolerance
bbc,0.01,0.001,6,0.93397724,1,34,8.428689606e-06,0.08706953406,0.03447789501,0.05259163906,2.525372679,1,0.05259163906,2.510046448,0.005006460393,0.001994568824,0.8510381506,0.988817957,0.8415218054,1.556341204,tolerance
bbc,0.01,0.01,6,0.92484305,1,36,7.921457798e-06,0.0460156949,0.01972344573,0.02629224917,2.333045428,1,0.02629224917,2.28612664,0.004422934542,0.001934684836,0.8012217092,0.987126035,0.790906809,1.427834639,tolerance
bbc,0.1,1e-05,6,0.06737781,1,29,4.620078073e-06,0.6222579663,0.6077170639,0.01454090239,1.023927092,1,0.01454090239,739.7873676,0.92578027,0.001251414002,0.9994592469,1.019814696,1.019263228,21.99396032,tolerance
bbc,0.1,0.0001,6,0.53374758,1,29,5.78014697e-06,0.6531592795,0.6483405545,0.004818724982,1.007432398,1,0.004818724982,1191.607561,0.9241873899,0.0007755803339,0.9993666765,1.019474233,1.018828576,21.96056151,tolerance
bbc,0.1,0.001,6,0.61487290,1,33,9.665469836e-06,0.9520760608,0.9463503969,0.005725663971,1.006050258,1,0.005725663971,2923.238398,0.8787569021,0.0003006107551,0.9933576487,1.031320499,1.024470106,21.02300675,tolerance
bbc,0.1,0.01,6,0.86105746,1,37,5.951895021e-06,0.6614475792,0.6525592704,0.008888308839,1.013620692,1,0.008888308839,188.8604329,0.2632388994,0.001393827682,0.9619367685,1.05522481,1.015059544,8.57671512,tolerance
bbc,0.5,1e-05,6,0.06249731,1,32,2.868788945e-06,0.6663532346,0.6537397972,0.01261343741,1.019294278,1,0.01261343741,1195.796792,0.9511901872,0.0007954446725,0.999822322,1.012088257,1.011908431,22.5348863,tolerance
bbc,0.5,0.0001,6,0.36656165,1,32,3.987969934e-06,0.6551531306,0.6466711353,0.008481995295,1.013116397,1,0.008481995295,1630.61017,0.9526777589,0.0005842461776,0.999913198,1.011378653,1.011290863,22.57019921,tolerance
bbc,0.5,0.001,6,0.10822909,1,35,4.43845694e-06,0.9437879293,0.9004735063,0.04331442302,1.048101829,1,0.04331442302,3692.934855,0.9493391218,0.000257069014,0.9993822998,1.011786873,1.011161892,22.50542152,tolerance
bbc,0.5,0.01,6,0.49106890,1,37,8.259483303e-06,0.9519709349,0.9420651615,0.009905773467,1.010514956,1,0.009905773467,2691.083778,0.8343470831,0.0003100412889,0.9996459053,1.032961212,1.032595446,20.17543171,tolerance
