dataset,lambda1,lambda2,gamma,nmi,converged,iterations,final_primal_residual,eig_K,eig_Kp1,eigengap,eig_ratio,eig1,norm_gap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
orl,0.01,1e-05,24,0.83997210,1,36,6.580672422e-06,-0.002131572284,-0.00215110087,1.952858605e-05,-9.599748143e+12,1,1.952858605e-05,1.184343342,0.002945197091,0.002486776416,0.1453480831,0.9978449918,0.1450348567,1.011097314,tolerance
orl,0.01,0.0001,24,0.87036403,1,35,7.670497047e-06,-0.002463390882,-0.002472409161,9.018278747e-06,-1.109412626e+13,1,9.018278747e-06,1.100162169,0.00273568243,0.002486617436,0.09251420398,0.9975548282,0.09228799086,1.002290127,tolerance
orl,0.01,0.001,24,0.88756752,1,35,6.889532232e-06,-0.002473325138,-0.00248083115,7.506012632e-06,-1.113886617e+13,1,7.506012632e-06,1.070092229,0.002660237849,0.002485989317,0.07188790231,0.9972248045,0.07168839933,0.9999694124,tolerance
orl,0.01,0.01,24,0.87476571,1,35,7.037388702e-06,-0.002439053481,-0.002441853892,2.800411041e-06,-1.098452035e+13,1,2.800411041e-06,1.061394066,0.002638650351,0.002486023273,0.06552027486,0.9972131006,0.06533767644,0.9994691035,tolerance
orl,0.1,1e-05,24,0.98505315,1,32,3.440547878e-06,0.1319172604,0.08181294625,0.05010431411,1.612425251,1,0.05010431411,26.07019547,0.1514936553,0.005810990389,0.9812232412,1.188322814,1.166009963,6.048949135,tolerance
orl,0.1,0.0001,24,0.98400438,1,32,6.681639438e-06,0.1408976938,0.08497023751,0.05592745628,1.658200541,1,0.05592745628,27.92665781,0.1485313783,0.005318623493,0.9799335242,1.17194552,1.148428704,5.890628562,tolerance
orl,0.1,0.001,24,0.98960507,1,32,5.472920196e-06,0.1538663171,0.07418790872,0.07967840836,2.074008012,1,0.07967840836,26.58992181,0.1037208472,0.003900757886,0.952522986,1.106297048,1.053773368,4.918261361,tolerance
orl,0.1,0.01,24,0.96721303,1,34,7.608093169e-06,0.001269351915,1.802128271e-05,0.001251330632,70.43626892,1,0.001251330632,11.45986108,0.04230791281,0.003691834701,0.9318754549,1.073605838,1.000466928,3.673754709,tolerance
orl,0.5,1e-05,24,0.98149278,1,31,8.152961572e-09,0.1317408454,0.1206664212,0.01107442424,1.091777183,1,0.01107442424,33.72839163,0.2507703167,0.007434991844,0.9907448311,1.156566419,1.145862202,8.000925924,tolerance
orl,0.5,0.0001,24,0.98002610,1,31,3.673051731e-08,0.1368706461,0.1270474763,0.009823169761,1.077318889,1,0.009823169761,35.46555666,0.2520311322,0.007106363354,0.9903534089,1.147688341,1.136617061,7.953356648,tolerance
orl,0.5,0.001,24,0.97674774,1,31,4.642096998e-06,0.1673120092,0.1637095323,0.00360247688,1.022005297,1,0.00360247688,41.30285322,0.2317165612,0.005610182908,0.9974445327,1.111075831,1.108236513,7.434896691,tolerance
orl,0.5,0.01,24,0.95892139,1,35,7.013190081e-06,0.1856804922,0.1771572542,0.00852323798,1.048111143,1,0.00852323798,36.80475465,0.138201236,0.003754983216,0.9832782163,1.080179553,1.062117024,5.658144095,tolerance
orl,1,1e-05,24,0.97352190,1,32,6.287829812e-09,0.1318964747,0.1242040403,0.007692434386,1.06193385,1,0.007692434386,34.77191953,0.2759807731,0.007936886339,0.9971617829,1.140634821,1.137397452,8.531405915,tolerance
orl,1,0.0001,24,0.97241462,1,32,2.441081827e-08,0.1359045614,0.1298069375,0.006097623942,1.046974561,1,0.006097623942,36.28594701,0.2778146614,0.007656260459,0.9964653714,1.133584786,1.129577985,8.502299942,tolerance
orl,1,0.001,24,0.96108389,1,32,1.84012189e-06,0.1604757553,0.1540848696,0.006390885744,1.0414764,1,0.006390885744,40.78713465,0.2644827554,0.006484465205,0.9904815662,1.110071421,1.09950528,8.16086387,tolerance
orl,1,0.01,24,0.94610379,1,35,9.466680715e-06,0.2201826765,0.2092391192,0.01094355732,1.052301679,1,0.01094355732,46.10190437,0.1878598045,0.004074881657,0.9911470532,1.070986618,1.06150523,6.64871678,tolerance
