dataset,lambda1,lambda2,gamma,nmi,converged,iterations,final_primal_residual,eig_K,eig_Kp1,eigengap,eig_ratio,eig1,norm_gap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
scene,0.0001,1e-05,12,0.83715540,1,34,5.490543888e-06,0.01540219688,0.01262151348,0.002780683403,1.220312992,1,0.002780683403,1.00140098,0.0008295200573,0.0008283595424,0.0004192632491,0.9948631555,0.000417109559,0.9948632917,tolerance
scene,0.0001,0.0001,12,0.84476649,1,34,4.40772631e-06,0.01366370459,0.01089788646,0.00276581813,1.253793994,1,0.00276581813,1.001209156,0.0008293455885,0.0008283439913,0.0002963604408,0.994844321,0.0002948325015,0.9948443858,tolerance
scene,0.0001,0.001,12,0.85108685,1,33,4.152782418e-06,0.01245217308,0.0100164036,0.002435769483,1.243178049,1,0.002435769483,1.001111484,0.000829264749,0.0008283440581,0.0002385324026,0.9948443183,0.0002373026055,0.994844358,tolerance
scene,0.0001,0.01,12,0.84190557,1,37,8.384082809e-06,0.0113729019,0.009279174075,0.002093727828,1.225637305,1,0.002093727828,1.001080081,0.0008292387586,0.00082834408,0.0002360520176,0.9948443162,0.000234835008,0.9948443526,tolerance
scene,0.0005,1e-05,12,0.84905199,1,33,7.789642631e-06,0.02269614922,0.02246382661,0.0002323226087,1.010342076,1,0.0002323226087,1.003802009,0.0008343687679,0.0008312085058,0.001574695927,0.9982865639,0.001571997786,0.998289223,tolerance
scene,0.0005,0.0001,12,0.85437772,1,34,3.38032819e-06,0.01996918059,0.01833463925,0.001634541338,1.08915045,1,0.001634541338,1.002688242,0.0008333693557,0.0008311350639,0.001098692274,0.9981974549,0.001096711832,0.9981985889,tolerance
scene,0.0005,0.001,12,0.85508732,1,33,3.87040466e-06,0.01858951419,0.01644094509,0.002148569097,1.130684038,1,0.002148569097,1.002376034,0.0008331064727,0.0008311316755,0.001046124816,0.9981931247,0.001044234599,0.9981940266,tolerance
scene,0.0005,0.01,12,0.84541534,1,37,8.977962933e-06,0.01738074861,0.01553518456,0.001845564053,1.118798978,1,0.001845564053,1.002318058,0.0008330583271,0.0008311317153,0.001095301887,0.9981931223,0.001093322811,0.9981940483,tolerance
scene,0.001,1e-05,12,0.84769603,1,33,7.441413089e-06,0.02591573187,0.02459037118,0.001325360691,1.053897547,1,0.001325360691,1.010321205,0.0008406533361,0.000832065418,0.005868052287,0.9993209702,0.005864067704,0.9993518219,tolerance
scene,0.001,0.0001,12,0.84455334,1,34,3.002752157e-06,0.02051981603,0.01984216846,0.0006776475704,1.034151891,1,0.0006776475704,1.006762176,0.0008376431808,0.0008320169361,0.00452317806,0.9992598094,0.004519830046,0.9992755699,tolerance
scene,0.001,0.001,12,0.85299676,1,33,3.835982821e-06,0.01892712576,0.01789768668,0.001029439073,1.057517996,1,0.001029439073,1.005839017,0.0008368697997,0.0008320116694,0.004478200186,0.9992527195,0.004474853715,0.9992667428,tolerance
scene,0.001,0.01,12,0.86327880,1,37,8.233675401e-06,0.01824866409,0.01659107459,0.001657589501,1.099908508,1,0.001657589501,1.005672522,0.0008367313885,0.0008320117837,0.004567588883,0.9992527167,0.004564175601,0.9992667735,tolerance
scene,0.01,1e-05,12,0.92975040,1,32,7.819876165e-06,0.06769674264,0.06725465449,0.0004420881556,1.006573347,1,0.0004420881556,1.878334693,0.001570656425,0.0008361962491,0.2304802787,0.9999654913,0.2304723251,1.09320505,tolerance
scene,0.01,0.0001,12,0.91697808,1,32,9.743556966e-06,0.05586136159,0.05412860905,0.001732752531,1.032011769,1,0.001732752531,1.409687921,0.001173388141,0.0008323744023,0.1494641423,0.9999646972,0.1494588658,1.026837651,tolerance
scene,0.01,0.001,12,0.92031729,1,34,5.275495659e-06,0.04845701945,0.0448118908,0.003645128647,1.081342889,1,0.003645128647,1.268623415,0.001056046745,0.0008324351674,0.1336874819,0.9999724527,0.1336837992,1.017920454,tolerance
scene,0.01,0.01,12,0.90849831,1,37,8.733808806e-06,0.04755895308,0.0413084121,0.006250540984,1.151313998,1,0.006250540984,1.250398827,0.001040891486,0.0008324475865,0.1323084509,0.9999724634,0.1323048076,1.016939976,tolerance
scene,0.1,1e-05,12,0.87702462,1,34,4.384611223e-06,0.05081954465,0.04527593528,0.005543609371,1.122440527,1,0.005543609371,12.11487526,0.01423718425,0.001175182075,0.9779696336,1.014698425,0.9923442473,2.003031427,tolerance
scene,0.1,0.0001,12,0.85287091,1,33,1.132983856e-06,0.05242014779,0.0453214347,0.007098713094,1.15663037,1,0.007098713094,10.98313261,0.0122738478,0.001117517947,0.9778939123,1.009904787,0.9875797429,1.867710153,tolerance
scene,0.1,0.001,12,0.81916903,1,33,7.111448456e-06,0.06267623797,0.05399269713,0.008683540833,1.160828062,1,0.008683540833,7.530610328,0.008078627504,0.001072771947,0.9142314155,1.001660836,0.9157498036,1.721772174,tolerance
scene,0.1,0.01,12,0.79517434,1,37,8.464976192e-06,0.06121639249,0.05683173505,0.004384657432,1.077151567,1,0.004384657432,3.134233179,0.003165296582,0.001009911006,0.7679262976,1.001048301,0.7687313151,1.570193628,tolerance
