dataset,lambda1,lambda2,gamma,nmi,converged,iterations,final_primal_residual,eig_K,eig_Kp1,eigengap,eig_ratio,eig1,norm_gap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
uci,0.001,1e-05,12,0.96511861,1,35,9.363959951e-06,0.1799362587,0.0557556203,0.1241806383,3.227230863,1,0.1241806383,4.504700521,0.01228389806,0.002726906706,0.9751704453,1.520227752,1.482481174,4.478344455,tolerance
uci,0.001,0.0001,12,0.97163104,1,34,9.450308738e-06,0.1548658604,0.05081669729,0.1040491631,3.047538873,1,0.1040491631,4.331477977,0.01049282149,0.00242245754,0.9790293833,1.432013028,1.401982832,4.086247333,tolerance
uci,0.001,0.001,12,0.98933794,1,34,4.464782673e-06,0.15910332,0.05031635188,0.1087869681,3.162059927,1,0.1087869681,4.609250023,0.01005508646,0.002181501634,0.9605193703,1.348019563,1.294798902,3.815324763,tolerance
uci,0.001,0.01,12,0.97166810,1,38,5.304792843e-06,0.1615485212,0.05419286534,0.1073556558,2.980992427,1,0.1073556558,5.045192416,0.009979380886,0.001977998075,0.929477183,1.289985363,1.199011962,3.579827158,tolerance
uci,0.01,1e-05,12,0.98132669,1,35,3.232955041e-06,0.1636764176,0.05311221447,0.1105642032,3.081709533,1,0.1105642032,8.897709451,0.03482029711,0.003913400106,0.9430764257,1.658253069,1.563859377,6.364125293,tolerance
uci,0.01,0.0001,12,0.95782894,1,34,6.109501513e-06,0.1677263093,0.05082705434,0.116899255,3.299941566,1,0.116899255,8.583743894,0.02922087119,0.003404210512,0.9536544754,1.587422164,1.513852251,5.644463315,tolerance
uci,0.01,0.001,12,0.98346502,1,33,5.637851767e-06,0.1863665041,0.05173732466,0.1346291794,3.602167397,1,0.1346291794,6.243055658,0.01626541452,0.002605361127,0.9578506591,1.447462035,1.386452464,4.553172689,tolerance
uci,0.01,0.01,12,0.97642424,1,37,9.932005948e-06,0.189856749,0.05647300213,0.1333837469,3.36190289,1,0.1333837469,6.440320122,0.01461911738,0.002269936447,0.9235667724,1.374536896,1.269476604,4.148182748,tolerance
uci,0.1,1e-05,12,0.95826187,1,32,1.760797566e-08,0.09663419662,0.05478728368,0.04184691294,1.763807039,1,0.04184691294,10.52508684,0.05698652216,0.005414351734,0.935964246,1.646992537,1.541526128,8.761547644,tolerance
uci,0.1,0.0001,12,0.95150073,1,32,9.148035366e-08,0.1007412776,0.05863405568,0.04210722189,1.718135926,1,0.04210722189,12.69879667,0.06508436189,0.005125238525,0.9413532383,1.571337496,1.47918364,8.543768296,tolerance
uci,0.1,0.001,12,0.96344355,1,33,7.898654837e-06,0.1296880569,0.07323257684,0.05645548009,1.770906645,1,0.05645548009,18.75579215,0.07953099609,0.004240343222,0.9320355632,1.44127289,1.34331759,7.886645282,tolerance
uci,0.1,0.01,12,0.97866864,1,38,5.405754362e-06,0.1750442494,0.09276208758,0.08228216181,1.88702361,1,0.08228216181,17.21665917,0.0476278284,0.002766380395,0.9085436712,1.352470497,1.228778511,5.602135477,tolerance
uci,0.5,1e-05,12,0.96823023,1,35,1.171778521e-08,0.09190020295,0.05934410391,0.03255609904,1.548598713,1,0.03255609904,10.54254249,0.057409782,0.0054455348,0.9358633106,1.646951111,1.541321119,8.810508043,tolerance
uci,0.5,0.0001,12,0.95748677,1,35,1.14292781e-08,0.09484472697,0.06320890171,0.03163582526,1.500496361,1,0.03163582526,12.69435074,0.06577492412,0.005181432706,0.9412720195,1.571380175,1.47909619,8.627512857,tolerance
uci,0.5,0.001,12,0.94398986,1,34,1.792001706e-06,0.1078591075,0.07412804127,0.03373106622,1.455037873,1,0.03373106622,18.11392012,0.08619428938,0.004758455863,0.9322867283,1.444657827,1.346835319,8.621825764,tolerance
uci,0.5,0.01,12,0.96848781,1,38,5.532319795e-06,0.1463806949,0.09657478977,0.04980590518,1.515723672,1,0.04980590518,22.59244088,0.08356108705,0.003698630329,0.9096016489,1.368811084,1.245072819,7.46593497,tolerance
