dataset,lambda1,lambda2,gamma,nmi,converged,iterations,final_primal_residual,eig_K,eig_Kp1,eigengap,eig_ratio,eig1,norm_gap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
yale,0.05,0.0001,24,0.69878638,1,33,2.105486517e-06,0.1414670047,0.1318226621,0.009644342624,1.073161492,1,0.009644342624,6.259844247,0.04577734359,0.007312856644,0.6944198228,0.998342392,0.6932687469,1.967284164,tolerance
yale,0.05,0.001,24,0.67047198,1,34,4.057271201e-06,0.001149604738,-0.003753211919,0.004902816657,5.177359468e+12,1,0.004902816657,2.35563052,0.01416236473,0.006012133317,0.3533238424,0.9985584336,0.3528145026,1.155025582,tolerance
yale,0.05,0.01,24,0.52352196,1,34,2.61113568e-06,-0.005719901998,-0.00579200663,7.21046314e-05,-2.576014851e+13,1,7.21046314e-05,1.250556073,0.007504524773,0.006000950245,0.1757024428,0.998739951,0.1754810491,1.019327926,tolerance
yale,0.05,0.05,24,0.47673753,1,37,2.356196252e-06,-0.005675229834,-0.005778997568,0.0001037677337,-2.555896297e+13,1,0.0001037677337,1.223711449,0.007344609053,0.006001912507,0.1651643635,0.9987275298,0.1649541968,1.016569533,tolerance
yale,0.1,0.0001,24,0.71748708,1,32,1.181111554e-06,0.1935200711,0.1841545358,0.009365535339,1.050856935,1,0.009365535339,10.039519,0.1066575189,0.01062376782,0.9758368592,1.024692054,0.9999322759,3.258968583,tolerance
yale,0.1,0.001,24,0.76458456,1,32,1.639599236e-06,0.1876348652,0.1743381353,0.01329672983,1.076269772,1,0.01329672983,8.259359197,0.06869770148,0.00831755828,0.9090390406,1.000038945,0.9090744427,2.551522947,tolerance
yale,0.1,0.01,24,0.66557834,1,34,3.4686584e-06,0.01863531828,0.008722477253,0.009912841027,2.136470837,1,0.009912841027,3.457200003,0.02360452098,0.006827641143,0.7184645829,1.000000755,0.7184651251,1.631845975,tolerance
yale,0.1,0.05,24,0.62518040,1,37,3.68151523e-06,0.002388232236,-0.001641080905,0.004029313141,1.075564181e+13,1,0.004029313141,2.913945405,0.01931234447,0.006627558784,0.6846488508,0.9999150862,0.6845907146,1.512367536,tolerance
yale,0.5,0.0001,24,0.78777057,1,31,4.393947295e-08,0.2075024062,0.2029567665,0.004545639732,1.022397084,1,0.004545639732,20.37917925,0.2733730492,0.01341433067,0.9934900916,1.107141683,1.099934292,5.202197649,tolerance
yale,0.5,0.001,24,0.77935372,1,31,1.354590693e-06,0.2488417762,0.240027299,0.008814477206,1.036722811,1,0.008814477206,22.29551245,0.2593491177,0.01163234612,0.9928780061,1.079955673,1.072264235,4.92305647,tolerance
yale,0.5,0.01,24,0.74877446,1,34,7.776809856e-06,0.2581904048,0.2467419452,0.01144845959,1.046398514,1,0.01144845959,16.32831962,0.1441806087,0.00883009471,0.9672294873,1.035489552,1.001556029,3.508124192,tolerance
yale,0.5,0.05,24,0.68405052,1,36,7.430297094e-06,0.09477290397,0.06676623914,0.02800666484,1.419473452,1,0.02800666484,6.006773376,0.05257424602,0.008752493682,0.9943604444,1.001897265,0.9962470094,2.569040459,tolerance
yale,1,0.0001,24,0.83669165,1,32,2.046558918e-08,0.1956328106,0.1878687424,0.00776406818,1.041327089,1,0.00776406818,23.2958662,0.3266047046,0.01401985665,0.9944643946,1.103922317,1.097811438,5.874207471,tolerance
yale,1,0.001,24,0.81721529,1,33,1.577175402e-07,0.2271466415,0.2167570072,0.01038963435,1.047932173,1,0.01038963435,25.26908181,0.3167560436,0.01253532068,0.9937464566,1.077688801,1.070949427,5.683324824,tolerance
yale,1,0.01,24,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,error
yale,1,0.05,24,0.70759448,1,37,6.088858211e-06,0.1778534006,0.1682456694,0.009607731203,1.05710537,1,0.009607731203,12.92690685,0.1088072443,0.008417113669,0.9975664713,1.002075257,0.9996366784,3.236343519,tolerance
yale,2,0.0001,24,0.81233658,1,34,7.534203332e-09,0.1875130014,0.1781541291,0.009358872321,1.052532447,1,0.009358872321,25.27313147,0.3642188405,0.01441130637,0.9920632845,1.091834226,1.083168649,6.354895141,tolerance
yale,2,0.001,24,0.79892418,1,34,5.497344685e-08,0.2120968369,0.1985836308,0.01351320603,1.068047935,1,0.01351320603,27.1512224,0.3582555481,0.01319482205,0.9928092482,1.07087728,1.063176868,6.231369981,tolerance
yale,2,0.01,24,0.72904383,1,34,8.491553857e-06,0.2957780047,0.2936506404,0.002127364307,1.007244542,1,0.002127364307,29.09116785,0.2937666241,0.01009813788,0.9848329099,1.041781049,1.025980262,5.442521884,tolerance
yale,2,0.05,24,0.71609236,1,37,6.204886979e-06,0.2628862091,0.2534766063,0.009409602783,1.037122174,1,0.009409602783,22.17524868,0.1813804014,0.00817940777,0.9935856652,1.008328562,1.001860805,4.149586756,tolerance
