dataset,lambda1,lambda2,gamma,nmi,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
scene,0.001,1e-05,6,0.86069227,1,33,0.02719068793,0.02535486569,0.00183582224,1.023264968,0.0008518640615,0.0008324960667,0.01545517808,0.9998488852,0.01545284257,1.000048346,tolerance
scene,0.001,1e-05,12,0.84769603,1,33,0.02591573187,0.02459037118,0.001325360691,1.010321205,0.0008406533361,0.000832065418,0.005868052287,0.9993209702,0.005864067704,0.9993518219,tolerance
scene,0.001,1e-05,24,0.85010804,1,33,0.02428850901,0.02174612735,0.002542381653,1.005846865,0.0008361121832,0.000831251965,0.002968040334,0.9983403684,0.002963114481,0.9983485388,tolerance
scene,0.001,0.0001,6,0.84849701,1,34,0.02242724036,0.02102894171,0.001398298646,1.013107396,0.0008434117106,0.0008324998063,0.00958368737,0.9998449505,0.009582201424,0.999917128,tolerance
scene,0.001,0.0001,12,0.84455334,1,34,0.02051981603,0.01984216846,0.0006776475704,1.006762176,0.0008376431808,0.0008320169361,0.00452317806,0.9992598094,0.004519830046,0.9992755699,tolerance
scene,0.001,0.0001,24,0.85936560,1,33,0.01953155322,0.01810670302,0.001424850203,1.00397773,0.0008344645523,0.0008311584284,0.002166586122,0.9982264915,0.002162743664,0.9982303496,tolerance
scene,0.001,0.001,6,0.86638692,1,33,0.02031045183,0.01949624772,0.0008142041126,1.010725611,0.0008414284717,0.0008324994066,0.009086344963,0.9998424884,0.009084913758,0.9999015108,tolerance
scene,0.001,0.001,12,0.85299676,1,33,0.01892712576,0.01789768668,0.001029439073,1.005839017,0.0008368697997,0.0008320116694,0.004478200186,0.9992527195,0.004474853715,0.9992667428,tolerance
scene,0.001,0.001,24,0.86989943,1,33,0.01764202721,0.01628900398,0.001353023233,1.003526281,0.0008340715515,0.0008311407158,0.002189132462,0.9982048464,0.002185202633,0.9982083506,tolerance
scene,0.001,0.01,6,0.85815441,1,37,0.01992666913,0.01800232975,0.001924339377,1.010372566,0.0008411348077,0.0008324996504,0.009226135742,0.9998424862,0.009224682498,0.9999011752,tolerance
scene,0.001,0.01,12,0.86327880,1,37,0.01824866409,0.01659107459,0.001657589501,1.005672522,0.0008367313885,0.0008320117837,0.004567588883,0.9992527167,0.004564175601,0.9992667735,tolerance
scene,0.001,0.01,24,0.87375426,1,37,0.01676016433,0.01520650818,0.00155365615,1.003433916,0.0008339948461,0.0008311407781,0.00225103495,0.9982048429,0.002246993989,0.9982083853,tolerance
scene,0.001,0.05,6,0.85318043,1,40,0.01968079313,0.01769274705,0.001988046086,1.010207433,0.0008409974501,0.0008324997645,0.009225779354,0.9998424847,0.009224326153,0.9999006533,tolerance
scene,0.001,0.05,12,0.84967821,1,40,0.01826202486,0.01622629472,0.002035730139,1.005586257,0.0008366596754,0.0008320118431,0.004575580948,0.9992527152,0.004572161686,0.9992666785,tolerance
scene,0.001,0.05,24,0.85139461,1,40,0.01692683302,0.01491334209,0.002013490934,1.00338529,0.0008339544645,0.0008311408115,0.002262394565,0.9982048414,0.002258333208,0.9982083693,tolerance
scene,0.001,0.1,6,0.85728723,1,41,0.01968787578,0.01771781652,0.001970059258,1.010155294,0.0008409540807,0.0008324998006,0.009216884451,0.9998424842,0.009215432646,0.9999004242,tolerance
scene,0.001,0.1,12,0.84448994,1,41,0.01837272714,0.01619476637,0.00217796077,1.005557449,0.0008366357266,0.000832011863,0.004572595154,0.9992527147,0.004569178121,0.9992666285,tolerance
scene,0.001,0.1,24,0.84183598,1,41,0.01711859359,0.01486997329,0.002248620305,1.003368047,0.0008339401444,0.0008311408234,0.002262268695,0.9982048408,0.002258207562,0.998208357,tolerance
scene,0.01,1e-05,6,0.93208612,1,32,0.08782144156,0.08412775176,0.003693689796,2.290330321,0.001938312076,0.0008463024126,0.3159656257,0.9999864536,0.3159613455,1.16185229,tolerance
scene,0.01,1e-05,12,0.92975040,1,32,0.06769674264,0.06725465449,0.0004420881556,1.878334693,0.001570656425,0.0008361962491,0.2304802787,0.9999654913,0.2304723251,1.09320505,tolerance
scene,0.01,1e-05,24,0.91305801,1,32,0.05991996883,0.05556213399,0.004357834842,1.55816722,0.001297151858,0.0008324856548,0.1978560536,1.000035792,0.1978631353,1.047146032,tolerance
scene,0.01,0.0001,6,0.93702269,1,33,0.07128105545,0.06743284426,0.003848211183,1.657332676,0.001381146548,0.0008333550457,0.2072662855,0.9999851196,0.2072632013,1.056394445,tolerance
scene,0.01,0.0001,12,0.91697808,1,32,0.05586136159,0.05412860905,0.001732752531,1.409687921,0.001173388141,0.0008323744023,0.1494641423,0.9999646972,0.1494588658,1.026837651,tolerance
scene,0.01,0.0001,24,0.90571789,1,32,0.04880538736,0.04478467372,0.004020713634,1.282199643,0.00106740137,0.0008324767335,0.1382725908,1.000041137,0.1382782789,1.018141215,tolerance
scene,0.01,0.001,6,0.91226288,1,34,0.05768636484,0.05042178189,0.007264582949,1.427504109,0.001189083734,0.0008329809531,0.1881143053,0.9999837661,0.1881112514,1.040240585,tolerance
scene,0.01,0.001,12,0.92031729,1,34,0.04845701945,0.0448118908,0.003645128647,1.268623415,0.001056046745,0.0008324351674,0.1336874819,0.9999724527,0.1336837992,1.017920454,tolerance
