dataset,lambda1,lambda2,gamma,nmi,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
yale,0.001,1e-05,6,0.23498655,1,34,-0.005796319215,-0.005806383458,1.006424269e-05,1.006088433,0.00582709361,0.005791830437,8.199655345e-06,0.9626877839,7.893708033e-06,0.962687784,tolerance
yale,0.001,1e-05,12,0.24301321,1,34,-0.005793632585,-0.005803754194,1.012160956e-05,1.006089051,0.005728713401,0.00569404209,7.55751833e-06,0.9464511612,7.152821999e-06,0.9464511613,tolerance
yale,0.001,1e-05,24,0.23143800,1,34,-0.005791887115,-0.005802111522,1.022440699e-05,1.006089987,0.00562507253,0.005591023271,6.786289231e-06,0.9293369973,6.306749657e-06,0.9293369974,tolerance
yale,0.001,0.0001,6,0.23067360,1,35,-0.00579623236,-0.005808698673,1.246631307e-05,1.006091864,0.005816813504,0.005781592827,7.059998473e-06,0.9609559752,6.784347717e-06,0.9609559752,tolerance
yale,0.001,0.0001,12,0.22425668,1,35,-0.005793395935,-0.005806188977,1.279304147e-05,1.006091619,0.005718422022,0.005683798488,7.449180777e-06,0.9447174739,7.037371247e-06,0.9447174739,tolerance
yale,0.001,0.0001,24,0.23145618,1,35,-0.005791582619,-0.005804592909,1.301029048e-05,1.006091455,0.0056148875,0.005580891749,7.725698997e-06,0.9276217184,7.166526179e-06,0.9276217184,tolerance
yale,0.001,0.001,6,0.22370405,1,35,-0.005797202648,-0.005810173797,1.297114893e-05,1.006095201,0.005816264669,0.00578102814,1.36622391e-05,0.9608444626,1.312728678e-05,0.9608444627,tolerance
yale,0.001,0.001,12,0.22394280,1,35,-0.005794525787,-0.005807656746,1.313095929e-05,1.006095492,0.005717890135,0.005683247944,1.536632638e-05,0.9446083048,1.451515951e-05,0.9446083049,tolerance
yale,0.001,0.001,24,0.22672815,1,35,-0.005792874242,-0.005806116155,1.324191345e-05,1.00609552,0.005614365844,0.005580350707,1.619012416e-05,0.9275142554,1.501657096e-05,0.9275142555,tolerance
yale,0.001,0.01,6,0.24849110,1,36,-0.005796813427,-0.005808674646,1.186121907e-05,1.006129,0.005816458608,0.005781026698,0.0001424185266,0.9608294102,0.0001368399089,0.9608294202,tolerance
yale,0.001,0.01,12,0.23623060,1,35,-0.005794328625,-0.005806195518,1.186689243e-05,1.006131373,0.005718092425,0.005683246321,0.0001539176067,0.9445932578,0.0001453895336,0.9445932692,tolerance
yale,0.001,0.01,24,0.23386825,1,35,-0.005792869171,-0.005804693985,1.182481438e-05,1.006132561,0.00561457088,0.00558034905,0.0001592663583,0.9274993302,0.0001477194406,0.9274993422,tolerance
yale,0.001,0.05,6,0.22781194,1,36,-0.005793339746,-0.005806405575,1.306582938e-05,1.006215712,0.005816956735,0.005781023559,0.0004280706909,0.960820306,0.0004112990122,0.9608203953,tolerance
yale,0.001,0.05,12,0.22092697,1,36,-0.005791033924,-0.005803637433,1.26035089e-05,1.006222304,0.005718605883,0.005683243018,0.0004463221401,0.9445841543,0.0004215888213,0.9445842498,tolerance
yale,0.001,0.05,24,0.22299436,1,36,-0.005789927415,-0.005802072054,1.214463823e-05,1.006224967,0.00561508313,0.005580345662,0.0004544627897,0.9274902874,0.0004215098234,0.9274903846,tolerance
yale,0.001,0.1,6,0.20942165,1,36,-0.005793842637,-0.005803410638,9.56800069e-06,1.006283399,0.005817345674,0.005781021209,0.00056125231,0.9608166918,0.0005392605878,0.9608168455,tolerance
yale,0.001,0.1,12,0.20316811,1,36,-0.005791724903,-0.005800570744,8.845841173e-06,1.006293762,0.005719009535,0.005683240569,0.000582838904,0.9445805445,0.0005505382893,0.9445807075,tolerance
